LGA_NAME,LGA_NAME_R,Accidents,Population,Pop/1000,Crashes Per 1000 People,Band,Region,Offences
SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,188,"16,135",16.135,11.65168888,Oct-15,Country,7387.775134
STONNINGTON,STONNINGTON,1625,"116,207",116.207,13.98366708,Oct-15,Metro,10227.93164
STRATHBOGIE,STRATHBOGIE,239,"10,645",10.645,22.45185533,20-25,Country,5211.238634
SURF COAST,SURF COAST,466,"32,251",32.251,14.44916437,Oct-15,Country,3934.735351
SWAN HILL,SWAN HILL,250,"20,759",20.759,12.04296931,Oct-15,Country,11741.42478
TOWONG,TOWONG,177,"6,054",6.054,29.23686819,25-35,Country,3735.306419
WANGARATTA,WANGARATTA,360,"29,087",29.087,12.37666311,Oct-15,Country,8542.461095
WARRNAMBOOL,WARRNAMBOOL,307,"34,862",34.862,8.806149963,0-10,Country,9221.665244
WELLINGTON,WELLINGTON,702,"44,019",44.019,15.94765897,15-20,Country,10313.26317
WEST WIMMERA,WEST WIMMERA,64,"3,862",3.862,16.5717245,15-20,Country,4446.913272
WHITEHORSE,WHITEHORSE,1532,"176,196",176.196,8.694862539,0-10,Metro,5193.379962
WHITTLESEA,WHITTLESEA,2151,"223,322",223.322,9.631832063,0-10,Metro,6986.672128
WODONGA,WODONGA,322,"41,429",41.429,7.77233339,0-10,Country,8973.875126
WYNDHAM,WYNDHAM,1664,"255,322",255.322,6.517260557,0-10,Metro,6188.310111
YARRA,YARRA,1803,"98,521",98.521,18.30066686,15-20,Metro,13715.5394
YARRA RANGES,YARRA RANGES,2164,"158,173",158.173,13.68122246,Oct-15,Metro,5452.463459
YARRIAMBIACK,YARRIAMBIACK,51,"6,658",6.658,7.659957945,0-10,Country,8408.272021
